英文单词名,中文单词名,单词中文描述,所属单元,单词难度等级
maintenance,维护,对系统、设备或生物结构的保养与维持,Chapter 0 基础词汇,中
constant,常量；持续的,固定不变的量或持续存在的状态,Chapter 0 基础词汇,中
concept,概念,对事物或现象的抽象理解与定义,Chapter 0 基础词汇,低
reference,参考；参照,用于对比或解释的依据或标准,Chapter 0 基础词汇,中
describe,描述,用语言表达事物的特征或性质,Chapter 0 基础词汇,低
state,陈述；说明,明确表达观点或事实,Chapter 0 基础词汇,低
explain,解释,阐明事物的原因或机制,Chapter 0 基础词汇,低
identify,识别；鉴定,确定事物的种类或特性,Chapter 0 基础词汇,中
diagram,图表；示意图,用图形表示结构或过程,Chapter 0 基础词汇,中
image,图像；影像,视觉上的表现或记录,Chapter 0 基础词汇,中
treatment,处理；治疗,对问题或疾病的解决方法,Chapter 0 基础词汇,中
Organism,生物,具有生命特征的个体或实体,Chapter 1 Introduction of living organisms,低
Eukaryotes,真核生物,细胞具有细胞核的生物类群（如动植物）,Chapter 1 Introduction of living organisms,中
Prokaryote,原核生物,细胞无细胞核的单细胞生物（如细菌）,Chapter 1 Introduction of living organisms,中
Cell wall,细胞壁,位于细胞外层的支持性结构（植物细胞主要成分为纤维素）,Chapter 1 Introduction of living organisms,中
Cell membrane,细胞膜,控制物质进出细胞的半透性屏障,Chapter 1 Introduction of living organisms,中
Organelle,细胞器,细胞内具有特定功能的结构（如线粒体、叶绿体）,Chapter 1 Introduction of living organisms,中
Nucleus,细胞核,包含遗传物质（DNA）的细胞控制中心,Chapter 1 Introduction of living organisms,中
Cytoplasm,细胞质,细胞内胶状物质，容纳细胞器,Chapter 1 Introduction of living organisms,中
Vacuole,液泡,储存液体或物质的囊状结构（植物细胞液泡较大）,Chapter 1 Introduction of living organisms,中
Vesicle,小泡/囊,细胞内运输或储存物质的小膜泡,Chapter 1 Introduction of living organisms,高
cell sap,细胞液,液泡内的水溶液，含糖类、无机盐等,Chapter 1 Introduction of living organisms,高
Cristae,嵴,线粒体内膜折叠形成的结构，增加呼吸酶附着面积,Chapter 1 Introduction of living organisms,高
Ribosome,核糖体,合成蛋白质的细胞器（游离或附着于内质网）,Chapter 1 Introduction of living organisms,中
Mitochondria,线粒体,通过细胞呼吸产生能量（ATP）的细胞器,Chapter 1 Introduction of living organisms,中
Chloroplast,叶绿体,植物细胞中进行光合作用的场所（含叶绿素）,Chapter 1 Introduction of living organisms,中
chlorophyll,叶绿素,捕获光能的绿色色素（存在于叶绿体中）,Chapter 1 Introduction of living organisms,中
endoplasmic reticulum,内质网,细胞内物质运输的膜性网络（分为粗面和光面）,Chapter 1 Introduction of living organisms,中
rough endoplasmic reticulum,粗面内质网,附着核糖体的内质网，参与蛋白质合成,Chapter 1 Introduction of living organisms,高
chromosome,染色体,由DNA和蛋白质组成的遗传物质载体,Chapter 1 Introduction of living organisms,中
